DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
24/04/2017,54.10,GAS,53.60,54.50,53.40,361260.00
21/04/2017,53.60,GAS,53.90,54.40,53.60,256750.00
20/04/2017,54.00,GAS,54.40,54.40,54.00,405730.00
19/04/2017,55.00,GAS,55.20,55.40,54.70,247430.00
18/04/2017,55.10,GAS,54.00,55.20,54.00,457560.00
17/04/2017,54.00,GAS,54.20,55.10,53.70,463270.00
14/04/2017,53.90,GAS,54.90,55.00,53.50,568130.00
13/04/2017,54.70,GAS,56.40,56.40,54.30,678760.00
12/04/2017,55.40,GAS,57.00,57.00,55.40,733350.00
11/04/2017,56.80,GAS,57.00,57.50,56.30,718510.00
10/04/2017,56.90,GAS,57.50,57.50,56.70,485730.00
07/04/2017,57.20,GAS,55.30,57.20,55.10,1555420.00
05/04/2017,54.80,GAS,54.90,55.10,54.50,535710.00
04/04/2017,54.30,GAS,55.00,55.00,54.00,551270.00
03/04/2017,54.70,GAS,54.80,55.30,54.50,428240.00
31/03/2017,55.00,GAS,55.00,55.30,54.60,532050.00
30/03/2017,54.40,GAS,54.00,54.70,54.00,362230.00
29/03/2017,53.80,GAS,54.10,54.60,53.60,552250.00
28/03/2017,53.60,GAS,54.00,54.00,53.50,319850.00
27/03/2017,54.00,GAS,54.30,54.40,53.70,555010.00
24/03/2017,54.50,GAS,53.40,54.50,53.40,516030.00
23/03/2017,53.20,GAS,53.00,54.20,53.00,971180.00
22/03/2017,53.00,GAS,54.20,54.40,53.00,1255270.00
21/03/2017,54.40,GAS,55.00,55.30,54.40,503250.00
20/03/2017,54.80,GAS,55.00,55.30,54.80,604570.00
17/03/2017,55.00,GAS,55.50,55.60,55.00,562130.00
16/03/2017,55.60,GAS,56.00,56.00,55.30,566040.00
15/03/2017,55.00,GAS,55.00,55.70,54.80,684900.00
14/03/2017,55.00,GAS,54.70,56.40,54.70,607090.00
13/03/2017,54.70,GAS,55.00,55.60,53.90,869240.00
10/03/2017,55.80,GAS,56.60,56.60,55.40,1316700.00
09/03/2017,56.80,GAS,57.40,57.40,56.80,1168640.00
08/03/2017,57.80,GAS,58.40,58.40,57.60,434580.00
07/03/2017,58.20,GAS,58.00,58.30,57.50,979520.00
06/03/2017,58.20,GAS,58.50,59.00,58.20,672260.00
03/03/2017,58.60,GAS,58.00,58.90,57.50,487640.00
02/03/2017,58.00,GAS,59.40,59.50,58.00,926350.00
01/03/2017,58.90,GAS,60.40,60.40,58.70,1311380.00
28/02/2017,60.30,GAS,62.00,62.30,60.30,665120.00
27/02/2017,61.90,GAS,61.30,61.90,60.70,868170.00
24/02/2017,61.70,GAS,63.10,63.10,61.70,749570.00
23/02/2017,63.00,GAS,62.50,63.40,62.10,1381370.00
22/02/2017,62.00,GAS,60.30,62.00,60.30,2022590.00
21/02/2017,59.70,GAS,59.00,60.40,58.90,1564800.00
20/02/2017,59.00,GAS,58.90,59.20,58.30,545730.00
17/02/2017,58.90,GAS,59.40,59.60,58.80,507400.00
16/02/2017,59.30,GAS,59.00,60.00,58.80,1044840.00
15/02/2017,59.10,GAS,59.20,59.20,58.70,943370.00
14/02/2017,59.10,GAS,59.00,59.50,58.50,1178960.00
13/02/2017,59.10,GAS,59.00,59.40,58.80,646920.00
10/02/2017,59.00,GAS,58.00,59.50,57.90,774350.00
09/02/2017,58.00,GAS,57.00,58.50,56.80,2471360.00
08/02/2017,59.10,GAS,60.00,60.00,59.10,118350.00
07/02/2017,60.00,GAS,60.00,60.50,59.80,230780.00
06/02/2017,60.00,GAS,59.50,61.00,58.80,415830.00
03/02/2017,59.50,GAS,60.50,60.50,59.20,174630.00
02/02/2017,60.50,GAS,60.30,61.00,60.30,102440.00
25/01/2017,60.10,GAS,60.00,60.10,59.50,190060.00
24/01/2017,60.00,GAS,59.00,60.40,58.50,158760.00
23/01/2017,58.50,GAS,58.10,58.50,57.00,143830.00
20/01/2017,58.10,GAS,57.40,58.20,57.00,88440.00
19/01/2017,57.40,GAS,57.00,57.40,57.00,48270.00
18/01/2017,57.40,GAS,56.70,57.60,56.70,250630.00
17/01/2017,56.70,GAS,57.60,58.00,56.60,274310.00
16/01/2017,58.00,GAS,59.60,59.60,57.70,292540.00
13/01/2017,59.60,GAS,60.50,60.80,59.60,172210.00
12/01/2017,60.50,GAS,60.50,60.90,60.20,35960.00
11/01/2017,60.40,GAS,60.00,60.50,60.00,52950.00
10/01/2017,60.00,GAS,60.80,60.80,59.80,145150.00
09/01/2017,60.50,GAS,60.40,61.20,60.00,210470.00
